CHAT_DAY,CHAT_HOUR,CHAT_MINUTE,CHAT_SECOND,USERNAME,CHAT_MESSAGE
2014-06-30,01,33,47,<dbu>,why should web be tightly-coupled to a particular scripting-lang? it shouldn't... https://github.com/deiu/ldpfs should rightly be banished to /dev/null
2014-06-30,01,34,25,<dbu>,biggest Cimba showstopper seems to be obscure AngularXjs entropy-issues
2014-06-30,02,05,03,<AAA_awright>,dbu: It shouldn't
2014-06-30,02,05,36,<AAA_awright>,Anyone who uses <script> without type= should be given an earful
2014-06-30,02,05,52,<AAA_awright>,"... well, you know"
2014-06-30,02,15,39,<karlcow>,karlcow has joined #swig
2014-06-30,02,29,13,<bblfish>,bblfish has joined #swig
2014-06-30,02,37,50,<bblfish>,bblfish has quit
2014-06-30,03,19,38,<dbu>,dbu has quit
2014-06-30,03,20,17,<dbu>,dbu has joined #swig
2014-06-30,03,32,32,<dbu>,dbu has quit
2014-06-30,03,32,44,<dbu>,dbu has joined #swig
2014-06-30,04,01,04,<Jabberz>,Jabberz has quit
2014-06-30,04,11,51,<o0o0o>,o0o0o has quit
2014-06-30,04,25,08,<bblfish>,bblfish has joined #swig
2014-06-30,04,27,03,<bblfish>,bblfish has quit
2014-06-30,04,27,37,<bblfish>,bblfish has joined #swig
2014-06-30,04,29,20,<gavinc_>,gavinc_ has quit
2014-06-30,04,32,11,<bblfish>,bblfish has quit
2014-06-30,04,58,06,<bblfish>,bblfish has joined #swig
2014-06-30,05,04,15,<bblfish>,bblfish has quit
2014-06-30,06,06,11,<bblfish>,bblfish has joined #swig
2014-06-30,06,48,21,<eelseth-stdin>,eelseth-stdin has quit
2014-06-30,06,48,34,<eelseth-stdin>,eelseth-stdin has joined #swig
2014-06-30,06,48,37,<eelseth-stdin>,eelseth-stdin has quit
2014-06-30,07,00,39,<nicktick>,nicktick has joined #swig
2014-06-30,07,23,00,<libby>,libby has joined #swig
2014-06-30,07,53,32,<MrWoohoo>,MrWoohoo has joined #swig
2014-06-30,07,59,21,<ephemerian>,ephemerian has joined #swig
2014-06-30,07,59,26,<jmvanel>,jmvanel has quit
2014-06-30,08,06,43,<mischat>,mischat has joined #swig
2014-06-30,08,25,43,<Arnia>,Arnia has joined #swig
2014-06-30,08,27,42,<Arnia>,Arnia has quit
2014-06-30,08,46,06,<jmvanel>,jmvanel has joined #swig
2014-06-30,08,51,33,<nevali>,nevali has joined #swig
2014-06-30,08,51,57,<shellac>,shellac has joined #swig
2014-06-30,09,02,11,<Bestial_Twelve>,Bestial_Twelve is now known as dat_eye_socket
2014-06-30,09,07,06,<gurke>,gurke has quit
2014-06-30,09,13,27,<gurke>,gurke has joined #swig
2014-06-30,09,13,27,<gurke>,gurke has quit
2014-06-30,09,13,27,<gurke>,gurke has joined #swig
2014-06-30,09,24,44,<nicktick>,nicktick has quit
2014-06-30,09,38,26,<gurke>,gurke has quit
2014-06-30,09,49,47,<gurke>,gurke has joined #swig
2014-06-30,10,04,52,<gurke>,gurke has quit
2014-06-30,10,40,29,<libby>,libby has quit
2014-06-30,10,41,37,<dsheets>,dsheets has joined #swig
2014-06-30,10,50,22,<kwijibo>,kwijibo has joined #swig
2014-06-30,10,56,40,<bblfish>,bblfish has quit
2014-06-30,10,57,13,<bblfish>,bblfish has joined #swig
2014-06-30,11,01,47,<nicktick>,nicktick has joined #swig
2014-06-30,11,01,50,<nicktick>,nicktick has quit
2014-06-30,11,01,50,<nicktick>,nicktick has joined #swig
2014-06-30,11,01,53,<bblfish>,bblfish has quit
2014-06-30,11,25,52,<libby>,libby has joined #swig
2014-06-30,11,45,39,<lmatteis>,lmatteis has joined #swig
2014-06-30,11,48,18,<mischat>,mischat has quit
2014-06-30,11,59,16,<mischat>,mischat has joined #swig
2014-06-30,11,59,56,<rszeno>,rszeno has joined #swig
2014-06-30,12,28,28,<timbl>,timbl has joined #swig
2014-06-30,12,39,23,<libby>,libby has quit
2014-06-30,12,43,56,<libby>,libby has joined #swig
2014-06-30,12,50,32,<betehess>,betehess has joined #swig
2014-06-30,13,07,01,<nicktick1>,nicktick1 has joined #swig
2014-06-30,13,09,01,<nicktick>,nicktick has quit
2014-06-30,13,13,31,<TallTed>,TallTed has joined #swig
2014-06-30,13,23,50,<deiu>,deiu has joined #swig
2014-06-30,13,30,59,<Sebastien-L>,Sebastien-L has joined #swig
2014-06-30,13,41,12,<rszeno>,rszeno has quit
2014-06-30,13,47,43,<timbl>,timbl has quit
2014-06-30,13,56,21,<bblfish>,bblfish has joined #swig
2014-06-30,14,02,37,<timbl>,timbl has joined #swig
2014-06-30,14,04,11,<mischat>,mischat has quit
2014-06-30,14,06,16,<mischat>,mischat has joined #swig
2014-06-30,14,19,10,<DanC>,DanC has quit
2014-06-30,14,21,17,<DanC>,DanC has joined #swig
2014-06-30,14,35,13,<libby>,libby has quit
2014-06-30,14,50,49,<njero>,njero has joined #swig
2014-06-30,15,07,23,<timbl>,timbl has quit
2014-06-30,15,16,03,<bblfish>,bblfish has quit
2014-06-30,15,16,49,<bblfish>,bblfish has joined #swig
2014-06-30,15,16,50,<bblfish>,bblfish has quit
2014-06-30,15,17,04,<bblfish>,bblfish has joined #swig
2014-06-30,15,20,10,<libby>,libby has joined #swig
2014-06-30,15,21,32,<lmatteis>,lmatteis has quit
2014-06-30,15,29,52,<timbl>,timbl has joined #swig
2014-06-30,15,41,53,<nicktick1>,nicktick1 has quit
2014-06-30,15,44,17,<njero>,njero has quit
2014-06-30,15,48,17,<njero_>,njero_ has joined #swig
2014-06-30,15,48,58,<timbl>,timbl has quit
2014-06-30,15,57,34,<Sebastien-L>,Sebastien-L has quit
2014-06-30,16,00,53,<bblfish>,bblfish has quit
2014-06-30,16,01,29,<bblfish>,bblfish has joined #swig
2014-06-30,16,04,53,<bblfish>,bblfish has quit
2014-06-30,16,05,08,<Sebastien-L>,Sebastien-L has joined #swig
2014-06-30,16,05,09,<bblfish>,bblfish has joined #swig
2014-06-30,16,24,45,<jmvanel>,jmvanel has quit
2014-06-30,16,38,32,<jmvanel>,jmvanel has joined #swig
2014-06-30,16,38,49,<timbl>,timbl has joined #swig
2014-06-30,17,00,03,<deiu>,deiu has quit
2014-06-30,17,05,27,<Sebastien-L>,Sebastien-L has quit
2014-06-30,17,05,51,<kwijibo>,kwijibo has quit
2014-06-30,17,08,36,<timbl>,timbl has quit
2014-06-30,17,12,43,<shellac>,shellac has quit
2014-06-30,17,12,53,<hybrid>,hybrid has joined #swig
2014-06-30,17,15,13,<deiu>,deiu has joined #swig
2014-06-30,17,15,14,<deiu>,deiu has quit
2014-06-30,17,15,14,<deiu>,deiu has joined #swig
2014-06-30,17,19,37,<mischat>,mischat has quit
2014-06-30,17,22,58,<mischat>,mischat has joined #swig
2014-06-30,17,45,07,<bblfish>,bblfish has quit
2014-06-30,17,45,40,<bblfish>,bblfish has joined #swig
2014-06-30,17,45,58,<bblfish>,bblfish has quit
2014-06-30,17,46,14,<bblfish>,bblfish has joined #swig
2014-06-30,17,46,25,<libby>,libby has quit
2014-06-30,17,47,56,<timbl>,timbl has joined #swig
2014-06-30,17,48,24,<libby>,libby has joined #swig
2014-06-30,17,49,50,<libby>,libby has quit
